address,share,tag,additional_data
0x698c9f8017d2940370e63539b044305e6e03e013,0.003484320557,sdvt,{}
0x6a6c79d8da4d3b1c8963073529cd026b36817eb6,0.003484320557,sdvt,{}
0x6a7371210086ee6b5ad6a9291aa8655b6d1d1141,0.003484320557,sdvt,{}
0x6aa0757bc4ffdc9f0deb5e9fa08173c07ef2afcc,0.003484320557,sdvt,{}
0x6c7c332a090c8d2085857cf3220ea01c6d45a723,0.006968641115,sdvt,{}
0x6e9a41a43351284a13f8449025e736334ed45b39,0.003484320557,sdvt,{}
0x6ef4397a6552905ee0d5f62d9b48a2a167aa7f43,0.003484320557,sdvt,{}
0x6f1fc2a9b903fc9f0edef09253b24aef5f50dd62,0.003484320557,sdvt,{}
0x6f802a1e8859052eb46ec1d6dee799b303c638e7,0.003484320557,sdvt,{}
0x7251e7549431b78cefef000d584c3356982ab0c9,0.003484320557,sdvt,{}
0x729250be25dc878dd400bf5bef702de77c83493e,0.003484320557,sdvt,{}
0x72936c991cb0a738728e9d2a8d5875fb5096a0c2,0.003484320557,sdvt,{}
0x72ebc90f0e3457a1ff6b000dc9b1aa152ee82974,0.003484320557,sdvt,{}
0x72fa66c195126c3257b287b37dd3bd724baf9e59,0.003484320557,sdvt,{}
0x765c6a8f20c842e8c826b0d9425015784f982afc,0.006968641115,sdvt,{}
0x772213aad4c6b37d2cc0fa3b74f9ace5a028b8c8,0.003484320557,sdvt,{}
0x7765ffd90db97c2473315063203affce3998d937,0.003484320557,sdvt,{}
0x7787c9dcd9bb2c3894f71b33dc0ebb5ce46b6d59,0.003484320557,sdvt,{}
0x7897a596cb18d366ddc75914191d98a8d5c3c2c9,0.003484320557,sdvt,{}
0x78b9ff33cfbe1b6b6914e38ada0593cc04d0fe39,0.003484320557,sdvt,{}
0x7c0819379c5ff2a0cfae44bcae210934760f9e3f,0.003484320557,sdvt,{}
0x7c75cb0d1136ebe764208f9a807d35510025b12c,0.006968641115,sdvt,{}
0x7cb698e45d970fd01150f89e2f1706d4bf804246,0.003484320557,sdvt,{}
0x7d0f205f4a7f10b7b1c6282193aa202dc16fbbbe,0.003484320557,sdvt,{}
0x7d800a412ca8d1abda9c918accc74ca5ce5b19c8,0.006968641115,sdvt,{}
0x7d992742d02ad7e5f8c030e28791e6035c438d72,0.003484320557,sdvt,{}
0x7e3f02de2f15989ec561beef697d928c2ee9edc3,0.003484320557,sdvt,{}
0x7ebfbccc0d779c5c9628db8268d00d1ecc79ad6d,0.003484320557,sdvt,{}
0x81d38529febf3ef9a88b88e7193eec1f245a7ad5,0.003484320557,sdvt,{}
0x823817c6a6f2e78093341c18231ad28b29ad35e3,0.003484320557,sdvt,{}
0x82907132791365aa7b50d7ba6bdd2d1d931b121f,0.006968641115,sdvt,{}
0x82a6665ec0d31e79fc1ba807cc314c49ad1a9013,0.003484320557,sdvt,{}
0x854711f82e1df2dc0278f623e9c66a2dbef5389a,0.003484320557,sdvt,{}
0x8607d264ea59264985b376e7a3d77de93bda597a,0.003484320557,sdvt,{}
0x87138ead456276321663c8cb0b7a5c4ca1278850,0.003484320557,sdvt,{}
0x877a8f5107bac127ca4ac7237591b062c412500b,0.003484320557,sdvt,{}
0x888880f5573159e378fdece526f5d73e6f47f595,0.003484320557,sdvt,{}
0x888a13448567d77ad16d578527a4174cb4be9000,0.003484320557,sdvt,{}
0x8a1b73a88e1854dd3eebee4354bd4dba23861e3a,0.003484320557,sdvt,{}
0x8b5b54634d0f798a9a7f90d57b1e99ac54219149,0.003484320557,sdvt,{}
0x8d0eefa504af1116b29bfb1bf65e76b830ee3982,0.003484320557,sdvt,{}
0x8ef3fa40a403d4174da03769f3b514e729ff0cd5,0.003484320557,sdvt,{}
0x90241786f3ee61a3295400dea582c848c171cafb,0.003484320557,sdvt,{}
0x90f1cfbebaa6e4a52f4e15a026d7f6d9ea2aacc4,0.003484320557,sdvt,{}
0x915b13028f00c6b0bef03a88ddf1bfd5bd601b19,0.003484320557,sdvt,{}
0x916727c5ba43d3f4c96ea7c0b163b3ff59094da2,0.003484320557,sdvt,{}
0x91ec68005d3114771f158f87224825965230a974,0.003484320557,sdvt,{}
0x92c19c1dc5a7d002d0072702d9124dd6aa0a5071,0.003484320557,sdvt,{}
0x94bf125ef30a7a496657d31216b7fd172929e298,0.003484320557,sdvt,{}
0x952283c92c8d44f88411977bffc681b9db98c6c4,0.003484320557,sdvt,{}
